6	14	4
7	16	2
8	18	7
9	20	2
10	22	6
11	24	2
12	26	9
13	28	2
14	30	8
15	32	2
16	34	11
17	36	2
18	38	10
19	40	2
20	42	13
21	44	2
22	46	12
23	48	2
24	50	15
25	52	2
26	54	14
27	56	2
28	58	17
29	60	2
30	62	16
31	64	2
32	66	19
33	68	2
34	70	18
35	72	2
36	74	21
37	76	2
38	78	20
39	80	2
40	82	23
41	84	2
42	86	22
43	88	2
44	90	25
45	92	2
46	94	24
47	96	2
48	98	27
49	100	2
50	102	26
51	104	2
52	106	29
53	108	2
54	110	28
55	112	2
56	114	31
57	116	2
58	118	30
59	120	2
60	122	33
61	124	2
62	126	32
63	128	2
64	130	35
65	132	2
66	134	34
67	136	2
68	138	37
69	140	2
70	142	36
71	144	2
72	146	39
73	148	2
74	150	38
75	152	2
76	154	41
77	156	2
78	158	40
79	160	2
80	162	43
81	164	2
82	166	42
83	168	2
84	170	45
85	172	2
86	174	44
87	176	2
88	178	47
89	180	2
90	182	46
91	184	2
92	186	49
93	188	2
94	190	48
95	192	2
96	194	51
97	196	2
98	198	50
99	200	2
100	202	53
101	204	2
102	206	52
103	208	2
104	210	55
105	212	2
106	214	54
107	216	2
108	218	57
109	220	2
110	222	56
111	224	2
112	226	59
113	228	2
114	230	58
115	232	2
116	234	61
117	236	2
118	238	60
119	240	2
120	242	63
121	244	2
122	246	62
123	248	2
124	250	65
125	252	2
126	254	64
127	256	2
128	258	67
129	260	2
130	262	66
131	264	2
132	266	69
133	268	2
134	270	68
135	272	2
136	274	71
137	276	2
138	278	70
139	280	2
140	282	73
141	284	2
142	286	72
143	288	2
144	290	75
145	292	2
146	294	74
147	296	2
148	298	77
149	300	2
150	302	76
151	304	2
152	306	79
153	308	2
154	310	78
155	312	2
156	314	81
157	316	2
158	318	80
159	320	2
160	322	83
161	324	2
162	326	82
163	328	2
164	330	85
165	332	2
166	334	84
167	336	2
168	338	87
169	340	2
170	342	86
171	344	2
172	346	89
173	348	2
174	350	88
175	352	2
176	354	91
177	356	2
178	358	90
179	360	2
180	362	93
181	364	2
182	366	92
183	368	2
184	370	95
185	372	2
186	374	94
187	376	2
188	378	97
189	380	2
190	382	96
191	384	2
192	386	99
193	388	2
194	390	98
195	392	2
196	394	101
197	396	2
198	398	100
199	400	2
200	402	103
201	404	2
202	406	102
203	408	2
204	410	105
205	412	2
206	414	104
207	416	2
208	418	107
209	420	2
210	422	106
211	424	2
212	426	109
213	428	2
214	430	108
215	432	2
216	434	111
